City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
90,hithadhoo,-0.6,73.0833,301.21,78,65,3.66,1703138400
91,thompson,55.7435,-97.8558,261.9,85,100,3.91,1703138400
92,mount gambier,-37.8333,140.7667,291.58,64,42,5.06,1703138400
93,ola,59.5833,151.2833,250.67,83,78,4.75,1703138400
94,tisaiyanvilai,8.3333,77.8833,300.84,75,82,6.44,1703138400
95,atar,20.5169,-13.0499,284.56,37,88,6.67,1703138400
96,lata,40.1629,-8.3327,277.98,90,3,3.15,1703138400
97,iskateley,67.6803,53.1512,264.27,97,94,3.32,1703138400
98,atafu village,-8.5421,-172.5159,302.2,74,92,4.65,1703138400
99,ushuaia,-54.8,-68.3,278.96,75,70,1.09,1703138400
100,fisterra,42.9049,-9.2629,285.95,81,73,7.01,1703138400
101,skeldon,5.8833,-57.1333,298.02,92,30,3.31,1703138400
102,imbituba,-28.24,-48.6703,295.0,92,39,6.6,1703138400
103,dudinka,69.4058,86.1778,257.97,91,100,12.78,1703138400
104,nova sintra,14.8667,-24.7167,293.02,68,10,7.68,1703138400
105,east london,-33.0153,27.9116,294.29,88,82,4.02,1703138400
106,tazacorte,28.629,-17.9293,292.44,69,62,6.24,1703138400
107,severnoye,56.3491,78.3619,266.81,94,99,3.78,1703138400
108,nar'yan-mar,67.6713,53.087,264.32,97,93,3.29,1703138400
109,aasiaat,68.7098,-52.8699,254.54,83,100,4.14,1703138400
110,ercis,39.0287,43.3586,271.33,69,23,1.12,1703138400
111,hamilton,39.1834,-84.5333,274.89,64,92,1.21,1703138400
112,walvis bay,-22.9575,14.5053,289.51,88,12,8.87,1703138400
113,mezhdurechenskiy,59.6,65.9333,270.24,92,48,4.89,1703138400
114,ende,-8.8432,121.6623,302.78,78,78,0.87,1703138400
115,longyearbyen,78.2186,15.6401,263.06,67,49,2.36,1703138400
116,gradiska,45.1411,17.25,277.29,92,51,0.69,1703138400
117,margate,51.3813,1.3862,284.64,75,100,14.23,1703138400
118,katsuura,35.1333,140.3,283.16,50,9,7.38,1703138400
119,stony plain,53.5334,-114.0021,272.36,93,100,2.45,1703138400
120,belyy yar,53.6039,91.3903,256.64,78,81,0.35,1703138400
121,port saint john's,-31.6229,29.5448,294.62,91,100,3.18,1703138400
122,huarmey,-10.0681,-78.1522,293.75,86,100,4.24,1703138400
123,nairobi,-1.2833,36.8167,293.74,79,31,6.22,1703138400
124,nova vicosa,-17.8919,-39.3719,296.72,83,97,4.99,1703138400
125,chernyshevsk,52.5243,117.0174,251.3,87,37,0.4,1703138400
126,dryden,49.7833,-92.7503,265.46,73,90,4.5,1703138400
127,genhe,50.7833,121.5167,255.37,82,94,1.1,1703138400
128,glace bay,46.1969,-59.957,275.22,96,100,16.6,1703138400
129,palmer,42.1584,-72.3287,274.61,54,44,5.14,1703138400
130,palasa,18.7667,84.4167,298.1,44,44,1.32,1703138400
131,alice springs,-23.7,133.8833,308.54,12,0,4.16,1703138400
132,tondano,1.3038,124.9112,299.2,73,93,0.57,1703138400
133,tura,25.5198,90.2201,297.42,39,23,1.51,1703138400
134,alofi,-19.0595,-169.9187,300.09,65,100,9.66,1703138400
135,kwale,5.7063,6.4374,296.74,96,35,0.69,1703138400
136,trinidad,-14.8333,-64.9,296.87,94,90,0.82,1703138400
137,opuwo,-18.0607,13.84,298.25,38,97,2.52,1703138400
138,mizdah,31.4451,12.9801,281.09,74,1,8.3,1703138400
139,ghormach,35.7306,63.7826,279.56,49,0,1.29,1703138400
140,ubari,26.5921,12.7805,278.79,90,1,4.98,1703138400
141,talnakh,69.4865,88.3972,258.82,93,99,8.76,1703138400
142,mejit,10.2753,170.8646,300.29,83,95,10.24,1703138400
143,polyarnyy,69.1989,33.4478,265.95,92,100,3.69,1703138400
144,jinchang,38.4953,102.1739,266.75,28,60,1.31,1703138400
145,coruripe,-10.1256,-36.1756,298.21,89,95,7.22,1703138400
146,vallenar,-28.5708,-70.7581,292.56,54,0,3.87,1703138400
147,chonchi,-42.6128,-73.8092,283.77,97,61,1.01,1703138400
148,brezina,33.0989,1.2608,279.99,75,14,5.02,1703138400
149,patterson,37.4716,-121.1297,285.26,95,97,1.12,1703138400
150,constitucion,-35.3333,-72.4167,285.94,83,1,3.79,1703138400
151,canutama,-6.5339,-64.3831,297.12,98,100,2.2,1703138400
152,nyurba,63.2842,118.3319,252.2,85,99,3.76,1703138400
153,severo-yeniseyskiy,60.3725,93.0408,259.03,94,100,3.14,1703138400
154,jiayuguan,39.8167,98.3,265.49,55,79,1.83,1703138400
155,georgetown,5.4112,100.3354,306.12,57,39,2.34,1703138400
156,pandan,14.0453,124.1694,300.65,81,85,4.54,1703138400
157,codrington,-38.2667,141.9667,291.99,57,19,5.85,1703138400
158,chernyshevskiy,63.0128,112.4714,249.51,92,30,2.67,1703138400
159,magdeburg,52.1667,11.6667,281.79,88,100,12.39,1703138400
160,nichinan,31.6,131.3667,282.97,62,36,3.66,1703138400
161,puerto ayora,-0.7393,-90.3518,297.34,96,56,5.11,1703138400
162,copala,16.65,-98.9833,296.65,84,8,0.62,1703138400
163,ribeira grande,38.5167,-28.7,289.69,77,87,7.17,1703138400
164,sal rei,16.1833,-22.9167,295.54,58,39,9.97,1703138400
165,spring creek,40.7266,-115.5859,275.94,83,90,0.46,1703138400
166,calvinia,-31.4707,19.776,294.85,45,1,4.76,1703138400
167,uglich,57.5275,38.3317,269.61,98,98,3.87,1703138400
168,hawaiian paradise park,19.5933,-154.9731,295.18,96,100,3.25,1703138400
169,stanley,54.868,-1.6985,283.89,85,84,10.89,1703138400
170,parry sound,45.3501,-80.033,271.18,74,37,4.09,1703138400
171,vila velha,-20.3297,-40.2925,298.12,88,36,5.52,1703138400
172,betio village,1.358,172.9211,302.17,81,98,5.79,1703138400
173,oruro,-17.9833,-67.15,285.35,64,70,3.79,1703138400
174,san patricio,28.017,-97.5169,292.5,80,91,4.17,1703138400
175,mount isa,-20.7333,139.5,312.02,18,13,6.85,1703138400
176,cadale,2.7603,46.3222,301.4,72,99,8.63,1703138400
177,borovichi,58.3878,33.9155,270.94,96,92,3.96,1703138400
178,mawu,29.5923,107.3139,281.72,60,97,0.48,1703138400
179,hobyo,5.3505,48.5268,300.63,75,80,7.74,1703138400
180,luderitz,-26.6481,15.1594,291.43,59,0,11.56,1703138400
181,garoowe,8.4054,48.4845,298.54,58,4,5.54,1703138400
182,saint-pierre,-21.3393,55.4781,301.96,79,21,1.5,1703138400
183,coquimbo,-29.9533,-71.3436,289.11,88,22,3.0,1703138400
184,san luis de la loma,17.2706,-100.8939,297.89,83,37,1.46,1703138400
185,wamba,8.9333,8.6,295.9,33,52,2.49,1703138400
186,sitka,57.0531,-135.33,280.09,65,100,2.81,1703138400
187,mili,6.0815,171.735,301.19,83,100,6.88,1703138400
188,sitia,35.2,26.0986,290.92,75,74,4.49,1703138400
189,ciudad melchor muzquiz,27.8833,-101.5167,287.09,81,96,0.72,1703138400
190,el calafate,-50.3408,-72.2768,284.67,71,81,1.55,1703138400
191,binefar,41.8488,0.2968,277.54,76,39,0.47,1703138400
192,qarazhal,48.0078,70.7903,269.88,92,100,2.75,1703138400
193,yoloten,37.2989,62.3597,279.89,33,0,4.66,1703138400
194,ilulissat,69.2167,-51.1,261.16,44,99,3.09,1703138400
195,pimentel,-6.8367,-79.9342,294.31,88,73,4.21,1703138400
196,usinsk,65.9939,57.5281,270.02,96,100,7.28,1703138400
